#Archive/File	Name	Time	Size	Type
File	GSM733986.chp.gz	05/31/2011 12:36:12	382448	CHP
File	GSM733987.CEL.gz	05/31/2011 12:36:14	2238969	CEL
File	GSM733987.chp.gz	05/31/2011 12:36:15	382128	CHP
File	GSM733988.CEL.gz	05/31/2011 12:36:17	2219902	CEL
File	GSM733988.chp.gz	05/31/2011 12:36:17	382268	CHP
File	GSM733989.CEL.gz	05/31/2011 12:36:19	2218077	CEL
File	GSM733989.chp.gz	05/31/2011 12:36:19	382528	CHP
File	GSM733990.CEL.gz	05/31/2011 12:36:20	2201583	CEL
File	GSM733990.chp.gz	05/31/2011 12:36:21	382483	CHP
File	GSM733991.CEL.gz	05/31/2011 12:36:22	2175014	CEL
File	GSM733991.chp.gz	05/31/2011 12:36:22	382464	CHP
File	GSM733992.CEL.gz	05/31/2011 12:36:24	2175124	CEL
File	GSM733992.chp.gz	05/31/2011 12:36:24	382212	CHP
File	GSM733993.CEL.gz	05/31/2011 12:36:26	2157978	CEL
File	GSM733993.chp.gz	05/31/2011 12:36:26	382493	CHP
File	GSM733994.CEL.gz	05/31/2011 12:36:28	2090706	CEL
File	GSM733994.chp.gz	05/31/2011 12:36:28	382469	CHP
File	GSM733995.CEL.gz	05/31/2011 12:36:30	2158434	CEL
File	GSM733995.chp.gz	05/31/2011 12:36:30	382538	CHP
File	GSM733996.CEL.gz	05/31/2011 12:36:32	2191952	CEL
File	GSM733996.chp.gz	05/31/2011 12:36:32	382594	CHP
File	GSM733997.CEL.gz	05/31/2011 12:36:34	2257953	CEL
File	GSM733997.chp.gz	05/31/2011 12:36:34	382432	CHP
File	GSM733998.CEL.gz	05/31/2011 12:36:36	2235342	CEL
File	GSM733998.chp.gz	05/31/2011 12:36:36	382131	CHP
File	GSM733999.CEL.gz	05/31/2011 12:36:37	2144728	CEL
File	GSM733999.chp.gz	05/31/2011 12:36:38	382428	CHP
File	GSM734000.CEL.gz	05/31/2011 12:36:39	2175018	CEL
File	GSM734000.chp.gz	05/31/2011 12:36:39	382540	CHP
File	GSM734001.CEL.gz	05/31/2011 12:36:41	2213618	CEL
File	GSM734001.chp.gz	05/31/2011 12:36:41	382397	CHP
File	GSM734002.CEL.gz	05/31/2011 12:36:44	2220239	CEL
File	GSM734002.chp.gz	05/31/2011 12:36:45	382280	CHP
File	GSM734003.CEL.gz	05/31/2011 12:36:47	2199402	CEL
File	GSM734003.chp.gz	05/31/2011 12:36:47	382323	CHP
File	GSM734004.CEL.gz	05/31/2011 12:36:49	2150872	CEL
File	GSM734004.chp.gz	05/31/2011 12:36:49	382349	CHP
File	GSM734005.CEL.gz	05/31/2011 12:36:54	2173425	CEL
File	GSM734005.chp.gz	05/31/2011 12:36:54	382447	CHP
File	GSM734006.CEL.gz	05/31/2011 12:36:56	2124152	CEL
File	GSM734006.chp.gz	05/31/2011 12:36:56	382414	CHP
File	GSM734007.CEL.gz	05/31/2011 12:36:58	2170459	CEL
File	GSM734007.chp.gz	05/31/2011 12:36:58	382362	CHP
File	GSM734008.CEL.gz	05/31/2011 12:37:00	2200424	CEL
File	GSM734008.chp.gz	05/31/2011 12:37:00	382496	CHP
File	GSM734009.CEL.gz	05/31/2011 12:37:01	2137311	CEL
File	GSM734009.chp.gz	05/31/2011 12:37:02	382558	CHP
File	GSM734010.CEL.gz	05/31/2011 12:37:03	2164750	CEL
File	GSM734010.chp.gz	05/31/2011 12:37:04	382406	CHP
File	GSM734011.CEL.gz	05/31/2011 12:37:05	2212868	CEL
File	GSM734011.chp.gz	05/31/2011 12:37:06	382339	CHP
File	GSM734012.CEL.gz	05/31/2011 12:37:07	2165067	CEL
File	GSM734012.chp.gz	05/31/2011 12:37:07	382523	CHP
File	GSM734013.CEL.gz	05/31/2011 12:37:09	2205823	CEL
File	GSM734013.chp.gz	05/31/2011 12:37:09	382638	CHP
File	GSM734014.CEL.gz	05/31/2011 12:37:11	2183986	CEL
File	GSM734014.chp.gz	05/31/2011 12:37:11	382492	CHP
File	GSM734015.CEL.gz	05/31/2011 12:37:13	2185983	CEL
File	GSM734015.chp.gz	05/31/2011 12:37:13	382419	CHP
File	GSM734016.CEL.gz	05/31/2011 12:37:15	2164316	CEL
File	GSM734016.chp.gz	05/31/2011 12:37:15	382436	CHP
File	GSM734017.CEL.gz	05/31/2011 12:37:16	2157351	CEL
File	GSM734017.chp.gz	05/31/2011 12:37:17	382445	CHP
File	GSM734018.CEL.gz	05/31/2011 12:37:18	2156664	CEL
File	GSM734018.chp.gz	05/31/2011 12:37:19	382346	CHP
File	GSM734019.CEL.gz	05/31/2011 12:37:20	2213971	CEL
File	GSM734019.chp.gz	05/31/2011 12:37:20	382461	CHP
File	GSM734020.CEL.gz	05/31/2011 12:37:22	2225954	CEL
File	GSM734020.chp.gz	05/31/2011 12:37:22	382023	CHP
File	GSM734021.CEL.gz	05/31/2011 12:37:24	2212510	CEL
File	GSM734021.chp.gz	05/31/2011 12:37:24	382302	CHP
